Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Doubletten;;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.416.473.160;USA;;4,53;335.957;14.634;97.882;;;;292
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2020-03-22 11:13;Asia;South-eastern Asia;60;MYS;Malaysia;;;;;;;;32.704.760;MYS;0;3,99;1.306;10;139;https://www.openstreetmap.org/#map=5/4.2105/101.9758&layers=T;4.2105;101.9758;23
2020-03-14 09:53;Asia;Eastern Asia;86;CHN;China;豫;;Henan;;;;;96.050.000;CHN_豫;0;1,33;1.273;22;1.250;https://www.openstreetmap.org/#map=5/33.8820/113.6140&layers=T;33.8820;113.6140;24
2020-03-22 02:43;Asia;Eastern Asia;86;CHN;China;浙;;Zhejiang;;;;;57.370.000;CHN_浙;0;2,16;1.237;1;1.219;https://www.openstreetmap.org/#map=5/29.1832/120.0934&layers=T;29.1832;120.0934;25
2020-03-22 22:43;Asia;Western Asia;90;TUR;Turkey;;;;;;;;83.154.997;TUR;0;1,49;1.236;30;0;https://www.openstreetmap.org/#map=5/38.9637/35.2433&layers=T;38.9637;35.2433;26
2020-03-22 23:43;Europe;Eastern Europe;420;CZE;Czechia;;;;;;;;10.681.161;CZE;0;10,49;1.120;1;6;https://www.openstreetmap.org/#map=5/49.8175/15.4730&layers=T;49.8175;15.4730;27
2020-03-22 16:13;Asia;Eastern Asia;81;JPN;Japan;;;;;;;;126.010.000;JPN;0;0,86;1.086;40;235;https://www.openstreetmap.org/#map=5/36.2048/138.2529&layers=T;36.2048;138.2529;28
2020-03-22 23:13;Asia;Western Asia;972;ISR;Israel;;;;;;;;9.166.000;ISR;0;11,68;1.071;1;37;https://www.openstreetmap.org/#map=5/31.0461/34.8516&layers=T;31.0461;34.8516;29
2020-03-22 22:13;Americas;Northern America;1;USA;United States;IL;;Illinois;;;;;12.830.632;USA_IL;0;8,18;1.049;9;0;https://www.openstreetmap.org/#map=5/40.3495/-88.9861&layers=T;40.3495;-88.9861;30
2020-03-22 21:13;Americas;Northern America;1;USA;United States;MI;;Michigan;;;;;9.883.640;USA_MI;0;10,49;1.037;9;0;https://www.openstreetmap.org/#map=5/43.3266/-84.5361&layers=T;43.3266;-84.5361;31
2020-03-14 08:33;Asia;Eastern Asia;86;CHN;China;湘;;Hunan;;;;;68.990.000;CHN_湘;0;1,48;1.018;4;1.014;https://www.openstreetmap.org/#map=5/27.6104/111.7088&layers=T;27.6104;111.7088;32
2020-03-11 02:18;Asia;Eastern Asia;86;CHN;China;皖;;Anhui;;;;;63.240.000;CHN_皖;0;1,57;990;6;984;https://www.openstreetmap.org/#map=5/31.8257/117.2264&layers=T;31.8257;117.2264;33
2020-03-22 02:43;Asia;Eastern Asia;86;CHN;China;赣;;Jiangxi;;;;;46.480.000;CHN_赣;0;2,01;936;1;934;https://www.openstreetmap.org/#map=5/27.6140/115.7221&layers=T;27.6140;115.7221;34
2020-03-22 23:13;Europe;Northern Europe;353;IRL;Ireland;;;;;;;;4.921.500;IRL;0;18,41;906;4;5;https://www.openstreetmap.org/#map=5/53.1424/-7.6921&layers=T;53.1424;-7.6921;35
2020-03-22 17:43;Americas;Northern America;1;USA;United States;LA;;Louisiana;;;;;4.533.372;USA_LA;0;18,46;837;20;0;https://www.openstreetmap.org/#map=5/31.1695/-91.8678&layers=T;31.1695;-91.8678;36
2020-03-22 17:43;Americas;Northern America;1;USA;United States;FL;;Florida;;;;;18.801.310;USA_FL;0;4,41;830;13;0;https://www.openstreetmap.org/#map=5/27.7663/-81.6868&layers=T;27.7663;-81.6868;37
2020-03-22 16:13;Europe;Western Europe;352;LUX;Luxembourg;;;;;;;;613.894;LUX;0;129,99;798;8;6;https://www.openstreetmap.org/#map=5/49.8153/6.1296&layers=T;49.8153;6.1296;38
2020-03-22 23:43;Americas;South America;593;ECU;Ecuador;;;;;;;;17.434.416;ECU;0;4,53;789;14;3;https://www.openstreetmap.org/#map=5/-1.8312/-78.1834&layers=T;-1.8312;-78.1834;39
2020-03-22 23:13;Asia;Southern Asia;92;PAK;Pakistan;;;;;;;;208.203.777;PAK;0;0,37;776;5;5;https://www.openstreetmap.org/#map=5/30.3753/69.3451&layers=T;30.3753;69.3451;40
2020-03-22 08:13;Asia;Eastern Asia;86;CHN;China;鲁;;Shandong;;;;;100.470.000;CHN_鲁;0;0,76;766;7;750;https://www.openstreetmap.org/#map=5/36.3427/118.1498&layers=T;36.3427;118.1498;41
2020-03-21 02:13;In;Between;5;IC;International Conveyance;1;;Diamond Princess;;;;;3.700;IC_1;0;19 %;712;8;325;https://www.openstreetmap.org/#map=5/35.4498/139.6649&layers=T;35.4498;139.6649;42
2020-03-22 22:43;Americas;Northern America;1;USA;United States;MA;;Massachusetts;;;;;6.547.629;USA_MA;0;9,87;646;5;0;https://www.openstreetmap.org/#map=5/42.2302/-71.5301&layers=T;42.2302;-71.5301;43
2020-03-22 23:13;Europe;Eastern Europe;48;POL;Poland;;;;;;;;38.386.000;POL;0;1,65;634;7;1;https://www.openstreetmap.org/#map=5/51.9194/19.1451&layers=T;51.9194;19.1451;44
2020-03-22 02:43;Asia;Eastern Asia;86;CHN;China;苏;;Jiangsu;;;;;80.510.000;CHN_苏;0;0,79;633;0;631;https://www.openstreetmap.org/#map=5/32.9711/119.4550&layers=T;32.9711;119.4550;45
2020-03-22 16:13;Americas;South America;56;CHL;Chile;;;;;;;;19.107.216;CHL;0;3,31;632;1;8;https://www.openstreetmap.org/#map=5/-35.6751/-71.5430&layers=T;-35.6751;-71.5430;46
2020-03-22 22:43;Americas;Northern America;1;USA;United States;TX;;Texas;;;;;25.145.561;USA_TX;0;2,49;627;6;0;https://www.openstreetmap.org/#map=5/31.0545/-97.5635&layers=T;31.0545;-97.5635;47
2020-03-22 16:13;Europe;Northern Europe;358;FIN;Finland;;;;;;;;5.527.573;FIN;0;11,33;626;1;10;https://www.openstreetmap.org/#map=5/61.9241/25.7482&layers=T;61.9241;25.7482;48
2020-03-22 16:43;Europe;Southern Europe;30;GRC;Greece;;;;;;;;10.724.599;GRC;0;5,82;624;15;19;https://www.openstreetmap.org/#map=5/39.0742/21.8243&layers=T;39.0742;21.8243;49
2020-03-22 17:43;Americas;Northern America;1;USA;United States;GA;;Georgia;;;;;9.687.653;USA_GA;0;6,19;600;23;0;https://www.openstreetmap.org/#map=5/33.0406/-83.6431&layers=T;33.0406;-83.6431;50
2020-03-22 11:13;Asia;South-eastern Asia;66;THA;Thailand;;;;;;;;66.475.817;THA;0;0,90;599;1;44;https://www.openstreetmap.org/#map=5/15.8700/100.9925&layers=T;15.8700;100.9925;51
