Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;#
Africa;Eastern Africa;261;MDG;Madagascar;;;;;;;;25.680.342;153
Asia;South-eastern Asia;60;MYS;Malaysia;;;;;;;;32.704.760;154
Asia;Southern Asia;960;MDV;Maldives;;;;;;;;374.775;155
Europe;Southern Europe;356;MLT;Malta;;;;;;;;493.559;156
Africa;Western Africa;222;MRT;Mauritania;;;;;;;;4.077.347;157
Africa;Eastern Africa;230;MUS;Mauritius;;;;;;;;1.265.985;158
Americas;Central America;52;MEX;Mexico;;;;;;;;126.577.691;159
Europe;Eastern Europe;373;MDA;Moldova;;;;;;;;2.681.735;160
Europe;Western Europe;377;MCO;Monaco;;;;;;;;38.300;161
Asia;Eastern Asia;976;MNG;Mongolia;;;;;;;;3.305.182;162
Europe;Southern Europe;382;MNE;Montenegro;;;;;;;;622.359;163
Africa;Northern Africa;212;MAR;Morocco;;;;;;;;35.824.881;164
Africa;Southern Africa;264;NAM;Namibia;;;;;;;;2.458.936;165
Asia;Southern Asia;977;NPL;Nepal;;;;;;;;29.609.623;166
Americas;Caribbean;297;ABW;Aruba;;X;;;;;;112.309;167
Americas;Caribbean;599;CUW;Curaçao;;X;;;;;;158.665;168
Americas;Caribbean;1;SXM;Sint Maarten;;X;;;;;;40.614;169
Europe;Western Europe;31;NLD;Netherlands;;;;;;;;17.439.481;170
Oceania;Oceania;64;NZL;New Zealand;;;;;;;;4.961.950;171
Americas;Central America;505;NIC;Nicaragua;;;;;;;;6.460.411;172
Africa;Western Africa;227;NER;Niger;;;;;;;;22.314.743;173
Africa;Western Africa;234;NGA;Nigeria;;;;;;;;200.963.599;174
Europe;Southern Europe;389;MKD;North Macedonia;;;;;;;;2.077.132;175
Europe;Northern Europe;47;NOR;Norway;;;;;;;;5.367.580;176
Asia;Western Asia;968;OMN;Oman;;;;;;;;4.664.790;177
Asia;Southern Asia;92;PAK;Pakistan;;;;;;;;208.203.777;178
Americas;Central America;507;PAN;Panama;;;;;;;;4.218.808;179
Oceania;Melanesia;675;PNG;Papua New Guinea;;;;;;;;8.935.000;180
Americas;South America;595;PRY;Paraguay;;;;;;;;7.152.703;181
Americas;South America;51;PER;Peru;;;;;;;;32.131.400;182
Asia;South-eastern Asia;63;PHL;Philippines;;;;;;;;108.341.299;183
Europe;Eastern Europe;48;POL;Poland;;;;;;;;38.386.000;184
Europe;Southern Europe;351;PRT;Portugal;;;;;;;;10.276.617;185
Asia;Western Asia;974;QAT;Qatar;;;;;;;;2.747.282;186
Europe;Eastern Europe;40;ROU;Romania;;;;;;;;19.405.156;187
Europe;Eastern Europe;7;RUS;Russia;;;;;;;;146.780.720;188
Africa;Eastern Africa;250;RWA;Rwanda;;;;;;;;12.374.397;189
Americas;Caribbean;1;LCA;Saint Lucia;;;;;;;;178.696;190
Americas;Caribbean;1;VCT;Saint Vincent and the Grenadines;;;;;;;;110.608;191
