Last Update,Continent,Region,ICC,ID,Country,ID,,Province,ID,District,ZIP,Area,Population,Confirmed,Deaths,Recovered,#,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,44,,Rhode Island,,,,,1052567,14,0,0,211,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,45,,South Carolina,,,,,4625364,13,0,0,212,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,46,,South Dakota,,,,,814180,8,1,0,213,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,47,,Tennessee,,,,,6346105,26,0,0,214,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,48,,Texas,,,,,25145561,43,0,0,215,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,49,,Utah,,,,,2763885,9,0,0,216,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,50,,Vermont,,,,,625741,2,0,0,217,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,51,,Virginia,,,,,8001024,30,0,0,218,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,53,,Washington,,,,,6724540,568,37,1,219,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,54,,West Virginia,,,,,1852994,0,0,0,220,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,55,,Wisconsin,,,,,5686986,19,0,1,221,
2020-03-11T20:00:00,Americas,Northern America,1,USA,United States,56,,Wyoming,,,,,563626,1,0,0,222,
2020-03-11T20:00:00,Asia,South-eastern Asia,84,VNM,Vietnam,,,,,,,,96208984,47,0,16,223,
2020-03-11T20:00:00,Asia,Eastern Asia,976,MNG,Mongolia,,,,,,,,3305182,1,0,0,224,
2020-03-11T20:00:00,Americas,Caribbean,1,JAM,Jamaica,,,,,,,,2726667,8,0,0,225,
2020-03-11T20:00:00,Asia,Southern Asia,93,AFG,Afghanistan,,,,,,,,32225560,7,0,0,226,
2020-03-11T20:00:00,Europe,Western Europe,377,MCO,Monaco,,,,,,,,38300,2,0,0,227,
2020-03-11T20:00:00,Europe,Western Europe,423,LIE,Liechtenstein,,,,,,,,38557,1,0,0,228,
2020-03-11T20:00:00,Americas,South America,592,GUY,Guyana,,,,,,,,782766,1,1,0,229,
2020-03-11T20:00:00,Asia,Eastern Asia,886,TWN,Taiwan,,,,,,,,23604265,50,1,20,230,
