Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.371.198.387;4,06;298.977;12.936;91.443;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
2020-03-21 20:43;Europe;Northern Europe;353;IRL;Ireland;;;;;;;;4.921.500;15,95;785;3;5;https://www.openstreetmap.org/#map=5/53.1424/-7.6921&layers=T;53.1424;-7.6921;33
2020-03-21 00:43;Asia;Eastern Asia;86;CHN;China;鲁;;Shandong;;;;;100.470.000;0,76;764;7;749;https://www.openstreetmap.org/#map=5/36.3427/118.1498&layers=T;36.3427;118.1498;34
2020-03-21 23:13;Americas;Northern America;1;USA;United States;IL;;Illinois;;;;;12.830.632;5,87;753;6;0;https://www.openstreetmap.org/#map=5/40.3495/-88.9861&layers=T;40.3495;-88.9861;35
2020-03-21 20:13;Asia;Southern Asia;92;PAK;Pakistan;;;;;;;;208.203.777;0,35;730;3;13;https://www.openstreetmap.org/#map=5/30.3753/69.3451&layers=T;30.3753;69.3451;36
2020-03-21 02:13;In;Between;5;IC;International Conveyance;1;;Diamond Princess;;;;;3.700;19 %;712;8;325;https://www.openstreetmap.org/#map=5/35.4498/139.6649&layers=T;35.4498;139.6649;37
2020-03-21 13:13;Europe;Western Europe;352;LUX;Luxembourg;;;;;;;;613.894;109,14;670;8;0;https://www.openstreetmap.org/#map=5/49.8153/6.1296&layers=T;49.8153;6.1296;38
2020-03-21 01:43;Asia;Western Asia;90;TUR;Turkey;;;;;;;;83.154.997;0,81;670;9;0;https://www.openstreetmap.org/#map=5/38.9637/35.2433&layers=T;38.9637;35.2433;39
2020-03-21 23:13;Americas;Northern America;1;USA;United States;FL;;Florida;;;;;18.801.310;3,51;659;13;0;https://www.openstreetmap.org/#map=5/27.7663/-81.6868&layers=T;27.7663;-81.6868;40
2020-03-15 01:53;Asia;Eastern Asia;86;CHN;China;苏;;Jiangsu;;;;;80.510.000;0,78;631;0;631;https://www.openstreetmap.org/#map=5/32.9711/119.4550&layers=T;32.9711;119.4550;41
2020-03-21 15:43;Americas;Northern America;1;USA;United States;LA;;Louisiana;;;;;4.533.372;12,90;585;16;0;https://www.openstreetmap.org/#map=5/31.1695/-91.8678&layers=T;31.1695;-91.8678;42
2020-03-21 23:13;Americas;Northern America;1;USA;United States;TX;;Texas;;;;;25.145.561;2,31;581;5;0;https://www.openstreetmap.org/#map=5/31.0545/-97.5635&layers=T;31.0545;-97.5635;43
2020-03-15 03:53;Asia;Eastern Asia;86;CHN;China;渝;;Chongqing;;;;;31.020.000;1,86;576;6;570;https://www.openstreetmap.org/#map=5/30.0572/107.8740&layers=T;30.0572;107.8740;44
2020-03-21 01:13;Asia;Eastern Asia;86;CHN;China;川;;Sichuan;;;;;83.410.000;0,65;542;3;536;https://www.openstreetmap.org/#map=5/30.6171/102.7103&layers=T;30.6171;102.7103;45
2020-03-21 14:43;Americas;South America;56;CHL;Chile;;;;;;;;19.107.216;2,81;537;0;6;https://www.openstreetmap.org/#map=5/-35.6751/-71.5430&layers=T;-35.6751;-71.5430;46
2020-03-21 20:43;Europe;Eastern Europe;48;POL;Poland;;;;;;;;38.386.000;1,40;536;5;1;https://www.openstreetmap.org/#map=5/51.9194/19.1451&layers=T;51.9194;19.1451;47
