;0;Country or unrecognized territory;International Calling Code
0;0;;0
0;0;;0
0;0;;0
145;687;Marshall Islands;692
146;688;Martinique;596
0;0;;0
147;690;Mauritania;222
148;691;Mauritius;230
0;0;;0
0;0;;0
0;0;;0
149;695;Mayotte;262
150;696;Melilla;34
151;697;Mexico;52
152;698;Moldova;373
153;699;Transnistria;373
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
154;705;Monaco;377
0;0;;0
155;707;Mongolia;976
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
156;717;Montenegro;382
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
157;723;Montserrat;1
158;724;Morocco;212
159;725;Mozambique;258
160;726;Myanmar;95
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
161;742;Artsakh;374
162;743;Namibia;264
0;0;;0
0;0;;0
163;746;Nauru;674
164;747;Nepal;977
165;748;Netherlands;31
166;749;New Caledonia;687
0;0;;0
0;0;;0
167;752;New Zealand;64
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
168;763;Nicaragua;505
169;764;Niger;227
170;765;Nigeria;234
0;0;;0
0;0;;0
0;0;;0
0;0;;0
171;770;Niue;683
0;0;;0
0;0;;0
172;773;Norfolk Island;672
173;774;North Korea;850
174;775;North Macedonia;389
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
175;783;Northern Cyprus;90
0;0;;0
176;785;Northern Ireland;44
177;786;Northern Mariana Islands;1
178;787;Norway;47
0;0;;0
0;0;;0
179;790;Oman;968
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
180;800;Pakistan;92
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
181;806;Palau;680
182;807;Palestine;970
0;0;;0
183;809;Panama;507
184;810;Papua New Guinea;675
