ID;Country;ICC;Population;Region;"Sub- or Intermediate
Region"
BGR;Bulgaria;359;7.000.039;Europe;Eastern Europe
BFA;Burkina Faso;226;20.870.060;Africa;Western Africa
BDI;Burundi;257;10.953.317;Africa;Eastern Africa
KHM;Cambodia;855;15.288.489;Asia;South-eastern Asia
CMR;Cameroon;237;25.876.000;Africa;Middle Africa
CAN;Canada;1;37.940.493;Americas;Northern America
ES-CN;Canary Islands;34;2.153.389;Africa;Northern Africa
CPV;Cape Verde;238;550.483;Africa;Western Africa
CYM;Cayman Islands;1;65.813;Americas;Caribbean
CAF;Central African Republic;236;5.496.011;Africa;Middle Africa
ES-CE;Ceuta;34;85.144;Africa;Northern Africa
TCD;Chad;235;15.692.969;Africa;Middle Africa
IOT-CI;Chagos Islands;246;3.000;Asia;Southern Asia
CHL;Chile;56;19.107.216;Americas;South America
CHN;China;86;1.401.551.000;Asia;Eastern Asia
CXR;Christmas Island;61;1.928;Oceania;Oceania
CCK;Cocos (Keeling) Islands;61;538;Oceania;Oceania
COL;Colombia;57;49.395.678;Americas;South America
COM;Comoros;269;873.724;Africa;Eastern Africa
COG;Congo Republic;242;5.380.508;Africa;Middle Africa
COD;DR Congo;243;86.790.567;Africa;Middle Africa
COK;Cook Islands;682;15.200;Oceania;Polynesia
CRI;Costa Rica;506;5.058.007;Americas;Central America
HRV;Croatia;385;4.076.246;Europe;Southern Europe
CUB;Cuba;53;11.209.628;Americas;Caribbean
CUW;Curaçao;599;158.665;Americas;Caribbean
CYP;Cyprus;357;875.900;Asia;Western Asia
CZE;Czechia;420;10.681.161;Europe;Eastern Europe
DNK;Denmark;45;5.822.763;Europe;Northern Europe
IOT-DG;Diego Garcia;246;4.239;Asia;Southern Asia
DJI;Djibouti;253;1.078.373;Africa;Eastern Africa
DMA;Dominica;1;71.808;Americas;Caribbean
DOM;Dominican Republic;1;10.358.320;Americas;Caribbean
TLS;East Timor;670;1.387.149;Asia;South-eastern Asia
RAP;Easter Island;56;7.750;Oceania;Polynesia
ECU;Ecuador;593;17.434.416;Americas;South America
EGY;Egypt;20;100.072.195;Africa;Northern Africa
SLV;El Salvador;503;6.704.864;Americas;Central America
ENG;England;44;55.977.178;Europe;Northern Europe
GNQ;Equatorial Guinea;240;1.358.276;Africa;Middle Africa
ERI;Eritrea;291;3.497.117;Africa;Eastern Africa
EST;Estonia;372;1.328.360;Europe;Northern Europe
ETH;Ethiopia;251;98.665.000;Africa;Eastern Africa
SWZ;Eswatini;268;1.093.238;Africa;Southern Africa
FLK;Falkland Islands;500;3.198;Americas;South America
FRO;Faroe Islands;298;52.124;Europe;Northern Europe
FSM;Micronesia;691;104.468;Oceania;Micronesia
FJI;Fiji;679;884.887;Oceania;Melanesia
FIN;Finland;358;5.527.573;Europe;Northern Europe
FRA;France;33;67.064.000;Europe;Western Europe
GUF;French Guiana;594;290.691;Americas;South America
PYF;French Polynesia;689;275.918;Oceania;Polynesia
GAB;Gabon;241;2.172.579;Africa;Middle Africa
GMB;Gambia;220;2.347.706;Africa;Western Africa
GEO;Georgia;995;3.723.464;Asia;Western Asia
DEU;Germany;49;83.149.300;Europe;Western Europe
GHA;Ghana;233;30.280.811;Africa;Western Africa
GIB;Gibraltar;350;33.701;Europe;Southern Europe
GRC;Greece;30;10.724.599;Europe;Southern Europe
GRL;Greenland;299;56.081;Americas;Northern America
GRD;Grenada;1;112.003;Americas;Caribbean
GLP;Guadeloupe;590;395.700;Americas;Caribbean
GUM;Guam;1;172.400;Oceania;Micronesia
GTM;Guatemala;502;16.604.026;Americas;Central America
GGY;Guernsey;44;62.792;Europe;Northern Europe
GIN;Guinea;224;12.218.357;Africa;Western Africa
GNB;Guinea-Bissau;245;1.604.528;Africa;Western Africa
GUY;Guyana;592;782.766;Americas;South America
HTI;Haiti;509;11.577.779;Americas;Caribbean
HND;Honduras;504;9.158.345;Americas;Central America
HKG;Hong Kong;852;7.500.700;Asia;Eastern Asia
HUN;Hungary;36;9.772.756;Europe;Eastern Europe
ISL;Iceland;354;364.260;Europe;Northern Europe
IND;India;91;1.359.238.350;Asia;Southern Asia
IDN;Indonesia;62;266.911.900;Asia;South-eastern Asia
IRN;Iran;98;83.241.033;Asia;Southern Asia
IRQ;Iraq;964;39.127.900;Asia;Western Asia
IRL;Ireland;353;4.921.500;Europe;Northern Europe
IMN;Isle of Man;44;83.314;Europe;Northern Europe
ISR;Israel;972;9.166.000;Asia;Western Asia
ITA;Italy;39;60.247.214;Europe;Southern Europe
CIV;Côte d'Ivoire;225;25.823.071;Africa;Western Africa
JAM;Jamaica;1;2.726.667;Americas;Caribbean
SJM;Jan Mayen;47;35;Europe;Northern Europe
JPN;Japan;81;126.010.000;Asia;Eastern Asia
JEY;Jersey;44;106.800;Europe;Northern Europe
JOR;Jordan;962;10.625.504;Asia;Western Asia
KAZ;Kazakhstan;7;18.654.144;Asia;Central Asia
KEN;Kenya;254;47.564.296;Africa;Eastern Africa
KIR;Kiribati;686;120.100;Oceania;Micronesia
XK;Kosovo;383;1.795.666;Europe;Southern Europe
KWT;Kuwait;965;4.420.110;Asia;Western Asia
KGZ;Kyrgyzstan;996;6.490.300;Asia;Central Asia
LAO;Laos;856;7.123.205;Asia;South-eastern Asia
LVA;Latvia;371;1.906.800;Europe;Northern Europe
LBN;Lebanon;961;6.855.713;Asia;Western Asia
