Last Update;World Region;ICC;ID;Country;;Province;;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;#
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;125865;4615;67003;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2020-03-11T22:53:03;Northern America;1.X;USA;USA;18;Indiana;;;;;6483802;11;0;0;115
2020-03-11T18:52:03;Eastern Asia;86;CHN;China;21;Macao;;;;;660000;10;0;10;116
2020-03-11T13:53:24;Northern Europe;371;LVA;Latvia;;;;;;;1906800;10;0;1;117
2020-03-11T13:33:11;Eastern Europe;421;SVK;Slovak Republic;;;;;;;5456362;10;0;0;118
2020-03-11T22:53:03;Northern America;1.X;USA;USA;11;District of Columbia;;;;;601723;10;0;0;119
2020-03-11T22:53:03;Northern America;1.X;USA;USA;45;South Carolina;;;;;4625364;10;0;0;120
2020-03-11T18:52:04;Oceania;61;AUS;Australia;;;;;;;25631395;9;0;2;121
2020-03-11T18:52:04;Oceania;61;AUS;Australia;;;;;;;25631395;9;1;0;122
2020-03-10T16:13:27;Eastern Europe;375;BLR;Belarus;;;;;;;9413446;9;0;3;123
2020-03-11T14:33:04;South America;57;COL;Colombia;;;;;;;49395678;9;0;0;124
2020-03-11T18:52:04;Northern America;1.X;USA;USA;04;Arizona;;;;;6392017;9;0;1;125
2020-03-11T03:33:05;Northern America;1.X;USA;USA;24;Maryland;;;;;5773552;9;0;0;126
2020-03-11T22:53:03;Northern America;1.X;USA;USA;47;Tennessee;;;;;6346105;9;0;0;127
2020-03-11T03:33:05;Northern America;1.X;USA;USA;51;Virginia;;;;;8001024;9;0;0;128
2020-03-11T23:13:06;Northern America;1.G;CAN;Canada;;;;;;;37940493;8;0;0;129
2020-03-11T09:33:12;Southern Asia;960;MDV;Maldives;;;;;;;374775;8;0;0;130
2020-03-11T21:13:24;Central America;52;MEX;Mexico;;;;;;;126577691;8;0;4;131
2020-03-11T09:33:12;Central America;507;PAN;Panama;;;;;;;4218808;8;1;0;132
2020-03-11T03:13:08;Northern America;1.X;USA;USA;21;Kentucky;;;;;4339367;8;0;0;133
2020-03-11T22:53:03;Northern America;1.X;USA;USA;46;South Dakota;;;;;814180;8;1;0;134
2020-03-11T10:13:12;Southern Asia;93;AFG;Afghanistan;;;;;;;32225560;7;0;0;135
2020-03-11T22:13:12;Southern Europe;387;BIH;Bosnia Herzegovina;;;;;;;3301000;7;0;0;136
2020-03-11T22:13:12;Eastern Europe;359;BGR;Bulgaria;;;;;;;7000039;7;1;0;137
2020-03-11T09:33:12;Western Europe;352;LUX;Luxembourg;;;;;;;613894;7;0;0;138
2020-03-10T10:53:03;Southern Europe;389;MKD;North Macedonia;;;;;;;2077132;7;0;0;139
2020-03-11T18:52:03;Northern Africa;216;TUN;Tunisia;;;;;;;11722038;7;0;0;140
2020-03-11T22:53:03;Northern America;1.X;USA;USA;32;Nevada;;;;;2700551;7;0;0;141
2020-03-10T02:33:04;Northern America;1.X;USA;USA;37;North Carolina;;;;;9535483;7;0;0;142
2020-03-11T18:52:03;Western Asia;357;CYP;Cyprus;;;;;;;875900;6;0;0;143
2020-03-11T11:33:08;Southern Europe;356;MLT;Malta;;;;;;;493559;6;0;0;144
2020-03-11T10:13:20;Northern America;1.X;USA;USA;22;Louisiana;;;;;4533372;6;0;0;145
2020-03-11T22:53:03;Northern America;1.X;USA;USA;55;Wisconsin;;;;;5686986;6;0;1;146
2020-03-08T17:23:08;Caribbean;1.J;DOM;Dominican Republic;;;;;;;10358320;5;0;0;147
2020-03-07T03:23:05;South America;594;GUF;French Guiana;;;;;;;290691;5;0;0;148
2020-03-11T11:53:03;Northern Africa;212;MAR;Morocco;;;;;;;35824881;5;1;0;149
2020-03-07T02:03:29;Oceania;64;NZL;New Zealand;;;;;;;4961950;5;0;0;150
2020-03-11T04:33:03;South America;595;PRY;Paraguay;;;;;;;7152703;5;0;0;151
2020-03-11T19:13:18;Northern America;1.X;USA;USA;27;Minnesota;;;;;5303925;5;0;0;152
2020-03-11T23:13:07;Northern America;1.X;USA;USA;31;Nebraska;;;;;1826341;5;0;0;153
2020-03-11T10:13:20;Northern America;1.X;USA;USA;33;New Hampshire;;;;;1316470;5;0;0;154
2020-03-11T03:13:08;Northern America;1.X;USA;USA;44;Rhode Island;;;;;1052567;5;0;0;155
2020-03-08T20:23:08;Western Africa;221;SEN;Senegal;;;;;;;16209125;4;0;1;156
2020-03-11T18:52:04;Northern America;1.X;USA;USA;39;Ohio;;;;;11536504;4;0;0;157
2020-03-11T18:52:04;Oceania;61;AUS;Australia;;;;;;;25631395;3;0;0;158
2020-03-10T06:19:32;Southern Asia;880;BGD;Bangladesh;;;;;;;168186262;3;0;0;159
2020-03-11T09:33:12;South-eastern Asia;855;KHM;Cambodia;;;;;;;15288489;3;0;1;160
