;Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered;Latitude;Longitude
122;;Hungary;2020-03-16T14:38:45;39;1;1;47.1625;19.5033
123;Oregon;US;2020-03-16T02:33:09;39;1;0;44.5720;-122.0709
124;Utah;US;2020-03-16T22:33:03;39;0;0;40.1500;-111.8624
125;North Carolina;US;2020-03-16T23:53:03;38;0;0;35.6301;-79.8064
126;;Ecuador;2020-03-16T02:33:08;37;2;0;-1.8312;-78.1834
127;;Belarus;2020-03-16T14:38:45;36;0;3;53.7098;27.9534
128;;Costa Rica;2020-03-16T02:33:08;35;0;0;9.7489;-83.7534
129;;Latvia;2020-03-16T14:38:45;34;0;1;56.8796;24.6032
130;;Cyprus;2020-03-16T02:33:08;33;0;0;35.1264;33.4299
131;;Georgia;2020-03-16T02:13:16;33;0;1;42.3154;43.3569
132;South Carolina;US;2020-03-16T22:33:03;33;1;0;33.8569;-80.9450
133;;Malta;2020-03-16T15:33:03;30;0;2;35.9375;14.3754
134;Connecticut;US;2020-03-16T20:13:20;30;0;0;41.5978;-72.7554
135;South Australia;Australia;2020-03-16T14:38:46;29;0;3;-34.9285;138.6007
136;;Morocco;2020-03-16T14:38:45;29;1;1;31.7917;-7.0926
137;Alabama;US;2020-03-16T22:33:03;29;0;0;32.3182;-86.9023
138;Western Australia;Australia;2020-03-16T14:38:46;28;1;0;-31.9505;115.8605
139;;Sri Lanka;2020-03-16T15:53:45;28;0;1;7.8731;80.7718
140;;Bosnia and Herzegovina;2020-03-16T21:13:17;25;0;0;43.9159;17.6791
141;Indiana;US;2020-03-16T22:33:03;25;1;0;39.8494;-86.2583
142;;Senegal;2020-03-16T01:13:13;24;0;2;14.4974;-14.4524
143;;Moldova;2020-03-16T00:22:11;23;0;0;47.4116;28.3699
144;Iowa;US;2020-03-16T23:53:03;23;0;0;42.0115;-93.2105
145;;Oman;2020-03-16T00:22:11;22;0;9;21.4735;55.9754
146;Arkansas;US;2020-03-16T17:13:23;22;0;0;34.9697;-92.3731
147;District of Columbia;US;2020-03-16T23:53:03;22;0;0;38.8974;-77.0268
148;;Afghanistan;2020-03-16T14:38:45;21;0;1;33.9391;67.7100
149;Kentucky;US;2020-03-16T18:33:03;21;1;1;37.6681;-84.6701
150;Rhode Island;US;2020-03-16T18:14:12;21;0;0;41.6809;-71.5118
151;;Tunisia;2020-03-16T01:13:13;20;0;0;33.8869;9.5375
152;Grand Princess;US;2020-03-16T17:13:23;20;0;0;37.6489;-122.6655
153;Qinghai;China;2020-03-11T02:18:14;18;0;18;35.7452;95.9956
154;Faroe Islands;Denmark;2020-03-16T14:38:45;18;0;0;61.8926;-6.9118
155;;North Macedonia;2020-03-16T14:38:45;18;0;1;41.6086;21.7453
156;;Turkey;2020-03-16T01:13:13;18;0;0;38.9637;35.2433
