Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;181.546;7.126;78.088;;;;
2020-03-15 06:41;Africa;Middle Africa;240;GNQ;Equatorial Guinea;;;;;;;;1.358.276;1;0;0;https://www.openstreetmap.org/#map=5/1.5000/10.0000&layers=T;1.5000;10.0000;243
2020-03-14 13:33;Africa;Middle Africa;241;GAB;Gabon;;;;;;;;2.172.579;1;0;0;https://www.openstreetmap.org/#map=5/-0.8037/11.6094&layers=T;-0.8037;11.6094;246
2020-03-16 14:38;Africa;Northern Africa;213;DZA;Algeria;;;;;;;;43.000.000;54;4;12;https://www.openstreetmap.org/#map=5/28.0339/1.6596&layers=T;28.0339;1.6596;105
2020-03-16 15:53;Africa;Northern Africa;20;EGY;Egypt;;;;;;;;100.072.195;150;2;27;https://www.openstreetmap.org/#map=5/26.8206/30.8025&layers=T;26.8206;30.8025;64
2020-03-16 14:38;Africa;Northern Africa;212;MAR;Morocco;;;;;;;;35.824.881;29;1;1;https://www.openstreetmap.org/#map=5/31.7917/-7.0926&layers=T;31.7917;-7.0926;136
2020-03-14 01:13;Africa;Northern Africa;249;SDN;Sudan;;;;;;;;42.306.185;1;1;0;https://www.openstreetmap.org/#map=5/12.8628/30.2176&layers=T;12.8628;30.2176;260
2020-03-16 01:13;Africa;Northern Africa;216;TUN;Tunisia;;;;;;;;11.722.038;20;0;0;https://www.openstreetmap.org/#map=5/33.8869/9.5375&layers=T;33.8869;9.5375;151
2020-03-15 06:41;Africa;Southern Africa;268;SWZ;Eswatini;;;;;;;;1.093.238;1;0;0;https://www.openstreetmap.org/#map=5/-26.5225/31.4659&layers=T;-26.5225;31.4659;244
2020-03-14 16:33;Africa;Southern Africa;264;NAM;Namibia;;;;;;;;2.458.936;2;0;0;https://www.openstreetmap.org/#map=5/-22.9576/18.4904&layers=T;-22.9576;18.4904;230
2020-03-16 14:38;Africa;Southern Africa;27;ZAF;South Africa;;;;;;;;58.775.022;62;0;0;https://www.openstreetmap.org/#map=5/-30.5595/22.9375&layers=T;-30.5595;22.9375;98
2020-03-16 14:38;Africa;Western Africa;229;BEN;Benin;;;;;;;;11.733.059;1;0;0;https://www.openstreetmap.org/#map=5/9.3077/2.3158&layers=T;9.3077;2.3158;235
2020-03-16 14:38;Africa;Western Africa;226;BFA;Burkina Faso;;;;;;;;20.870.060;15;0;0;https://www.openstreetmap.org/#map=5/12.2383/-1.5616&layers=T;12.2383;-1.5616;166
2020-03-13 22:22;Africa;Western Africa;225;CIV;Côte d'Ivoire;;;;;;;;25.823.071;1;0;0;https://www.openstreetmap.org/#map=5/7.5400/-5.5471&layers=T;7.5400;-5.5471;242
2020-03-15 18:20;Africa;Western Africa;233;GHA;Ghana;;;;;;;;30.280.811;6;0;0;https://www.openstreetmap.org/#map=5/7.9465/-1.0232&layers=T;7.9465;-1.0232;195
2020-03-15 06:41;Africa;Western Africa;224;GIN;Guinea;;;;;;;;12.218.357;1;0;0;https://www.openstreetmap.org/#map=5/9.9456/-9.6966&layers=T;9.9456;-9.6966;249
2020-03-16 14:38;Africa;Western Africa;231;LBR;Liberia;;;;;;;;4.475.353;1;0;0;https://www.openstreetmap.org/#map=5/6.4281/-9.4295&layers=T;6.4281;-9.4295;251
